s_inhib,neuron,name_mover,stat_in,stat_out,z_in,z_out,path_z
L7H9,L7N2088,L10H0,0.07104555738893835,0.0630000569244673,4.128693833258541,4.279593272348756,4.128693833258541
L7H9,L7N2086,L9H9,0.07871906647250149,0.06377610393371354,4.929607709580547,4.124316820841482,4.124316820841482
L7H3,L7N327,L10H0,0.07089159263785,0.08438526064306909,4.112623935605684,7.365138576916483,4.112623935605684
L7H3,L7N327,L9H9,0.07089159263785,0.07417835197199552,4.112623935605684,5.497321233842989,4.112623935605684
L7H3,L7N327,L9H6,0.07089159263785,0.06915157122513836,4.112623935605684,4.833830791851397,4.112623935605684
L7H3,L7N1195,L10H0,0.09048020250175462,0.061818984412972615,6.157163048938481,4.109183264094943,4.109183264094943
L8H10,L8N2694,L9H9,0.07329545184592481,0.0629685467805625,4.363524035612806,4.108671045573136,4.108671045573136
L7H3,L8N2694,L9H9,0.079861167812144,0.0629685467805625,5.6211934682305085,4.108671045573136,4.108671045573136
L8H6,L8N1307,L9H6,0.07046829952113798,0.08358058183796177,4.068443192840625,6.8206780033085215,4.068443192840625
L8H6,L8N1307,L10H0,0.07046829952113798,0.0956746900832216,4.068443192840625,8.3346470677846,4.068443192840625
L8H6,L8N1307,L9H9,0.07046829952113798,0.09344125112493068,4.068443192840625,8.118085252991392,4.068443192840625
L7H3,L7N1784,L10H0,0.08125345741983567,0.061291812179461655,5.19413191299783,4.033120682170913,4.033120682170913
L7H3,L8N2037,L9H9,0.07570327126421918,0.06226240445298934,5.121384048170882,4.015761107267824,4.015761107267824
L7H9,L8N3070,L9H6,0.07284726064259539,0.06223167636236346,4.7780707896458825,4.011718090877484,4.011718090877484
L8H10,L8N3070,L9H6,0.07421926708215694,0.06223167636236346,4.459946211412516,4.011718090877484,4.011718090877484
L8H10,L8N64,L9H9,0.06986092048128441,0.06440769445596321,4.005048688982166,4.298025395981847,4.005048688982166
L8H10,L8N64,L9H6,0.06986092048128441,0.06767118609289147,4.005048688982166,4.727415895329145,4.005048688982166
L7H9,L8N2920,L10H0,0.06638063930356917,0.07351546475877627,4.000735850223929,5.409826005338265,4.000735850223929
L7H9,L8N2920,L9H6,0.06638063930356917,0.07138117996980227,4.000735850223929,5.2155544599744585,4.000735850223929
L7H9,L8N2920,L9H9,0.06638063930356917,0.08224817629419594,4.000735850223929,6.64536813724457,4.000735850223929
L8H6,L8N15,L9H6,0.07206029488503124,0.06196433809935978,4.234605917624989,3.9765433384905484,3.9765433384905484
L7H3,L7N617,L10H0,0.10891529371037706,0.060773395075589855,8.081304950571777,3.958321326424405,3.958321326424405
L7H9,L7N617,L10H0,0.12252397534259028,0.060773395075589855,9.501695783370133,3.958321326424405,3.958321326424405
L7H3,L8N2920,L9H6,0.06598647213834594,0.07138117996980227,3.953354088800572,5.2155544599744585,3.953354088800572
L7H3,L8N2920,L10H0,0.06598647213834594,0.07351546475877627,3.953354088800572,5.409826005338265,3.953354088800572
L7H3,L8N2920,L9H9,0.06598647213834594,0.08224817629419594,3.953354088800572,6.64536813724457,3.953354088800572
L7H3,L8N2812,L9H6,0.06589458717821628,0.06489779705613868,3.9423088479906423,4.362510133077369,3.9423088479906423
L8H10,L8N938,L9H9,0.06917519618228563,0.067485551809929,3.933476986854945,4.702991258674565,3.933476986854945
L8H10,L8N938,L9H6,0.06917519618228563,0.07221169288698497,3.933476986854945,5.324828328547666,3.933476986854945
L7H9,L7N1544,L10H0,0.07948542007111584,0.06041433754653638,5.009595004130609,3.9065150267314563,3.9065150267314563
L7H3,L8N524,L9H6,0.0652641945935522,0.06462248080982083,3.866531072252549,4.32628568587881,3.866531072252549
L8H10,L8N3070,L10H0,0.07421926708215694,0.06173005839608486,4.459946211412516,3.8542569701219267,3.8542569701219267
L7H9,L8N3070,L10H0,0.07284726064259539,0.06173005839608486,4.7780707896458825,3.8542569701219267,3.8542569701219267
L7H3,L8N3070,L10H0,0.06515915359103842,0.06173005839608486,3.8539043794178998,3.8542569701219267,3.8539043794178998
L7H3,L8N3070,L9H6,0.06515915359103842,0.06223167636236346,3.8539043794178998,4.011718090877484,3.8539043794178998
L7H3,L7N2906,L10H0,0.07170497472009409,0.06001267941151776,4.19751977521789,3.848562136085383,3.848562136085383
L7H9,L8N1324,L10H0,0.06509424729815878,0.06297302564567682,3.846102170722115,4.01831761476581,3.846102170722115
L7H9,L7N2086,L10H0,0.07871906647250149,0.05991414043662869,4.929607709580547,3.8343445267847334,3.8343445267847334
L7H9,L7N2926,L9H6,0.08014403159077849,0.06150241881928353,5.07833684042207,3.8242105664626624,3.8242105664626624
L7H3,L7N2926,L9H6,0.07943496215218276,0.06150241881928353,5.004328515617499,3.8242105664626624,3.8242105664626624
L7H3,L9N2007,L10H0,0.06317570165399693,0.09282191120155492,3.8048220782586752,8.036596250245136,3.8048220782586752
L7H9,L8N2649,L9H6,0.06467505275064882,0.08467627260535428,3.795711935835756,6.964842370214553,3.795711935835756
L7H9,L8N2649,L10H0,0.06467505275064882,0.11949222791049963,3.795711935835756,11.478350661790035,3.795711935835756
L7H9,L8N2649,L9H9,0.06467505275064882,0.10620477982655878,3.795711935835756,9.797433194506016,3.795711935835756
L7H9,L7N308,L9H9,0.06775908553862253,0.07098730122681332,3.7856720318381445,5.076130858539218,3.7856720318381445
L7H9,L7N308,L10H0,0.06775908553862253,0.06027601948306507,3.7856720318381445,3.8865579266309993,3.7856720318381445
L8H6,L8N2461,L9H6,0.07976589564054938,0.06049771699502285,5.038869326097572,3.7835742003997668,3.7835742003997668
